,res,start,end
staatsanwaltschaften,159,1850,2008
staatsanwaltschaftlichen,75,1850,1924
staatsaufgabe,159,1850,2008
staatsbahn,159,1850,2008
staatsrechtslehre,159,1850,2008
staatsw,129,1850,1978
staffeln,159,1850,2008
statist,159,1850,2008
steinbau,159,1850,2008
steinmaterial,159,1850,2008
steno,159,1850,2008
stereoskopischen,159,1850,2008
steven,159,1850,2008
stickoxydul,115,1850,1964
stimmbildung,159,1850,2008
stimulantien,159,1850,2008
stirnseite,159,1850,2008
strafrechtswissenschaft,159,1850,2008
stramm,159,1850,2008
stria,93,1850,1942
stundenweise,159,1850,2008
stöckchen,159,1850,2008
stübel,96,1850,1945
submarinen,159,1850,2008
substantiva,159,1850,2008
sufficit,159,1850,2008
suoi,159,1850,2008
symphonie,159,1850,2008
synchronische,67,1850,1916
syrisch,159,1850,2008
säugern,159,1850,2008
